tweet_id,analysis_text,historical_reply,human_intent,human_reply_quality,human_action,human_notes
281979,Your product wich is in pic looks diffrent nd we receve is diffrent and also a color we cannt cancle this bcz i m live in dakor gujarat,@183175 Apologies for the inconvenience. Request you to get in touch with our support team here : https://t.co/TdDksLo6Mf.^SK,product_issue,Acceptable,ESCALATE,Product received differs from pictured product
671655,I don't have an Amazon account with that email address. But it is an address with 2 step verification that has not been hacked. Why would someone be able to set up an Amazon account with an email account that has not been verified thru Amazon? Sounds like Amazon security prob.,"@280258 Hey, you can set up an Amazon account using any email address that's not already associated with Amazon account. ^RS",account_login,Good,AUTO_HANDLE,Customer asks about creating an Amazon account with an unverified email address.
40422,But please arrange return pick up from your hand,"@120261 Please don't worry, our team will get in touch with you with a best possible resolution. ^SU",return,Acceptable,ESCALATE,Customer requests return pickup; support needs to arrange it.
1665280,"C'est inexcusable, je dois faire un transfert de données le 7 de l'ancienne console à celle-ci, et je dois revendre l'autre le même jour","@507413 Nous n'avons pas accès à votre compte, vous pouvez contacter notre SAV pour qu'ils vous aident via https://t.co/hgIrz98cdI",customer_service,Acceptable,ESCALATE,Customer needs support for a time-sensitive console data-transfer issue.
946601,I am very disappointing with the service of seller support my cases is not resolved its takes 3 months. Plz help,"@344469 Kindly share your details here: https://t.co/beaaDm0muc, and we'll reach out to you soon. (2/2) ^MD",customer_service,Acceptable,ESCALATE,Seller support case has remained unresolved for three months.
73532,No i ordered one item and it says it has been delivered. Part of the item is missing. This was a gift for someone tomorrow so I needed to receive it by today,"@132441 Thanks for the additional information! We'd like to take a look into this with you! When you get a moment, please contact us via chat or phone: https://t.co/JzP7hlA23B ^SW",delivery,Acceptable,ESCALATE,Order is marked delivered but part of the item is missing.
318264,It seems to be cooperating now. Its preference for Lloyd was just a little amusing.,@191939 Delighted it is working now.^CD,product_issue,Good,AUTO_HANDLE,Customer indicates the issue is now working normally.
472347,"I normally buy a few bits on a Friday but its now saying delivery for Monday, so deleted the items in my basket &amp; will have to go to Tesco tomorrow instead. Its always been fine before &amp; this has happened the last couple of orders Ive tried as well .. :(","@227489 This is not the experience we want you to have. Thank you for your feedback, it helps us improve. ^BD",delivery,Acceptable,AUTO_HANDLE,Customer reports unexpected delivery-date changes.
508132,"@236664 I ordered something three different items at three different times and they said “tried to deliver, business was closed....” Ummmm, no asshat ~ that “business” is a hotel!","@249440 I'm sorry to hear about the delivery trouble. If you are currently waiting on an order, we'd like to help! Have you received an updated delivery date for the orders? ^MB",delivery,Acceptable,ESCALATE,Customer reports failed delivery attempts to a hotel
413015,Gibts da ne Vorlage ? Ich kann nicht schlafen xd nur wenn man das mit 3-4 Produkten macht wird das ganz schön teuer,"@213578 Schau mal hier: https://t.co/7M84KcSxSt Diese Seite ist beim Produkt unter ""Hier klicken, um mehr über den AWS IoT-Button zu erfahren."" verlinkt. Als Bier-Alternative hätten wir noch das hier: https://t.co/CTqAEjLZej Du hast die Qual der Wahl 🍺🙂 ^DS",product_issue,Good,AUTO_HANDLE,Customer asks for a product template/reference and receives a relevant resource.
312965,No info since yesterday. Really 😒 https://t.co/D1u8Bfwxyj,@125313 Reach us here: https://t.co/JzP7hlRCV9 so we can check into this for you.^CD,customer_service,Acceptable,ESCALATE,Customer has not received an update and needs support follow-up.
179060,16th of September with Amazon. Received the code Monday. Input it to PSN last night. Was told it redeemed. Are the codes broken?,@158225 Sorry to hear this. Please get in touch with EA for assistance with this. ^RL,product_issue,Poor,ESCALATE,Customer reports a code redemption problem and needs investigation.
511712,i cancelled an order over 10 days ago but still havent got a refund. How long does it take?,"@237640 That's a bit unusual! When you place an order on Amazon, we may authorize your payment when your order is placed, but we don't charge you until the item ships. Was this order placed with one of our third-party sellers? You can check here: https://t.co/Y5jpI9gRhE ^BN",refund_payment,Poor,ESCALATE,Customer is waiting for a refund after cancelling an order.
428992,@115851 @115850 making fool how long you will loot Indian customer???,@158494 I understand your concern. Could you confirm if you've shared your details in the link provided earlier? ^HD,customer_service,Poor,ESCALATE,Customer expresses a serious service complaint and needs support attention.
1973387,Request you to kindly deliver my product between 2 - 5 pm order # 408-3487683-8821161. It’s request else I’ll hv 2 cancel,@539494 Please don't provide your order details as we consider it personal information. Our twitter page is visible to public.(2/2) ^CB,delivery,Poor,ESCALATE,Customer requests a specific delivery time and may cancel if not possible.
2483964,"Bought Motog5s Plus and got ""Up to 120 GB additional data from Idea"" from Amazon. Tried Availing this offer but got ""Invalid Invoice, details not found "" error. Today is Last day to avail. Pls. help @115850 @idea_cares https://t.co/wEDZeV8Bqa",@637647 I'm sorry that you are unable to claim the additional data. Kindly reach out to our support team here: https://t.co/vlvfJr4nN9 and we'll assist you accordingly. ^GD,product_issue,Acceptable,ESCALATE,Customer cannot claim an advertised product offer due to an invoice error.
292893,I hv submitted my prblm in ur email support team. They hv given reply to me and promised to me give cash back 15%. Ok so i m waiting.,@158512 Could you please confirm if you've shared your details in the link provided earlier? ^AG,refund_payment,Acceptable,ESCALATE,Customer is waiting for promised cashback/refund.
686676,Que ponía que mi paquete llegaba antes de las 9 de la mañana y no ha llegado aún :(,"@283958 Entiendo, ¿nos podrías indicar cuál es la fecha de entrega estimada que has recibido en el correo electrónico? ^KA",delivery,Acceptable,ESCALATE,Package has not arrived by the promised delivery time.
2857269,"Si se tiene que dirigir a alguna persona en especial, les pido POR FAVOR me digan con quién, para que el operador sepa.","@794123 Encontrarás los detalles de contacto en el siguiente enlace, ellos te guiarán durante la llamada: https://t.co/mEKBC5rf63 ^HC",customer_service,Good,AUTO_HANDLE,Customer asks who they should contact for assistance.
2671808,Thankyou amazon! I’m due the 6th of January so thought it’s best I get organised in case baby decides to make an early appearance 👶🏽❣️,@752321 Aw exciting! We would love to send an early Xmas pressie from us :) can you provide info here: https://t.co/tkLCr7DNil ^NV,other,Good,AUTO_HANDLE,Positive/non-support message with no specific customer issue.
204914,"Yes. Tracking stops yesterday, package due today. Guaranteed delivery date.","@164537 Typically, late orders arrive the next business day. If yours doesn't give us a call: https://t.co/hApLpMlfHN ^EP",delivery,Acceptable,ESCALATE,Tracking stopped and guaranteed delivery date has passed.
234564,"Yes, it arrived at two incorrect carrier facilities and it said the package may be here Friday. Afraid it’s going to get stuck at my dorm!","@171848 We might be able to have the delivery re-routed, Slyvie. Please phone us here: https://t.co/hApLpMlfHN and we'll discuss. ^LB",delivery,Good,ESCALATE,Package is routed through incorrect facilities and may be delayed.
1387352,I went to this link but I did not got contact number...I have query to ask...please give the customer care number,"@442807 Once you click on the link, you will have an option to enter your number and reach us via the phone, Aravind. ^KS",customer_service,Good,AUTO_HANDLE,Customer asks for the customer care contact number.
710642,After confirm my oder the estimate date is 16th Oct which take more than 1week. If received b4 Friday that it really use ful.,@246259 before then. Please wait until the estimated delivery date and I'm positive your order will be delivered. 2/2 ^SH,delivery,Acceptable,AUTO_HANDLE,Customer is concerned about the estimated delivery date.
581926,"Hi , It's me again! so regarding my shipment which was in the custom , today i checked with DHL and they said it's not shipped yet which is weird! and i went back to the tracking page and i found this ""Not yet shipped"" I meant what's happening here? Please advise?","@257159 I'm so sorry for the delay! We don't have access to your account or orders via Twitter. When you have a moment, reach us via phone or chat and we'll take a look at the order together in real-time: https://t.co/hApLpMlfHN If we can still help, let us know! ^KN",delivery,Acceptable,ESCALATE,Shipment shows not yet shipped and requires investigation.
812366,Dann wende ich mich mal an den :3 vielen Dank,@313577 Aber gerne doch! :-) ^AK,other,Good,AUTO_HANDLE,Customer simply thanks/supports the previous response.
64007,Thanks for your kind support. Item reached the destination,@130697 You're most welcome. We're glad to know that the package was rightly delivered. Appreciate your cooperation while we worked on this for you. ^EM,delivery,Good,AUTO_HANDLE,Customer confirms successful delivery.
1350017,"@115830 Hey, now me, my wife and my friend have all had the same thing done. We ordered, you took the money, then said the card was declined, we have to add more money to the card and then it works. Why are you authorising it and then not taking it??","@434819 I'm sorry for the frustration. We'll authorise the gift card for $1.00 when the order is placed. To ensure the order can be charged when it's shipped, make sure your order total is at least $1.00 less than the total value of the gift card. ^MB",refund_payment,Acceptable,ESCALATE,Customer reports payment authorization/card decline issue.
951966,"Really disappointed in @115821 ""prime"" shipping. It appears to mean ""maybe 2 days, maybe a week"" whatever the website said.",@345836 I'm so sorry for the delay! Who is the carrier? Does their site show more detail into what happened? ^AM,prime,Acceptable,ESCALATE,Complaint specifically concerns Prime shipping expectations.
923917,J etais une bonne cliente j achetais tres regulierement mais la c est trop,@339250 Je suis navrée pour le souci. Est-ce que le lisseur est expédié par Amazon ou par un vendeur tiers? ^SM,customer_service,Poor,ESCALATE,Customer expresses dissatisfaction without a specific issue.
1632475,Customer service was not sure that it would be and I'm responsible for follow up,@499531 Who's the carrier assigned to the delivery: https://t.co/Y5jpI9gRhE? ^AB,customer_service,Poor,ESCALATE,Customer complains about lack of clear support/resolution.
2385481,I'll try it out thanks,@687525 Great 😁 You two have a nice weekend. Take care ^CR,other,Good,AUTO_HANDLE,Customer acknowledges the response positively.
789697,Frgt abt email today is day4 where the hell is my stupid order oh god m tired n frustrated with you all @115821,@297517 Could you please check and confirm if you've received any correspondence from our side here: https://t.co/NTkrxpsbHJ ? ^AB,other,Poor,ESCALATE,Customer is frustrated because an order has not arrived.
577774,why are you making false commitment again and again now you have given new time not date for delivering. you have not already fulfill your yesterday commitment how can i trust you ????????? i think am i not talking to brand like amazon . i have attached both the screenshot https://t.co/Xui3BOaDFB,"@227488 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^BV",delivery,Poor,ESCALATE,Customer reports repeated missed delivery commitments.
