tweet_id,customer_message,agent_reply,human_reply_quality,llm_judge_quality
281979,Your product wich is in pic looks diffrent nd we receve is diffrent and also a color we cannt cancle this bcz i m live in dakor gujarat,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Poor
671655,I don't have an Amazon account with that email address. But it is an address with 2 step verification that has not been hacked. Why would someone be able to set up an Amazon account with an email account that has not been verified thru Amazon? Sounds like Amazon security prob.,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Good,Good
40422,But please arrange return pick up from your hand,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Good
1665280,"C'est inexcusable, je dois faire un transfert de données le 7 de l'ancienne console à celle-ci, et je dois revendre l'autre le même jour",Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Poor
946601,I am very disappointing with the service of seller support my cases is not resolved its takes 3 months. Plz help,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Good
73532,No i ordered one item and it says it has been delivered. Part of the item is missing. This was a gift for someone tomorrow so I needed to receive it by today,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Poor
318264,It seems to be cooperating now. Its preference for Lloyd was just a little amusing.,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Good,Poor
472347,"I normally buy a few bits on a Friday but its now saying delivery for Monday, so deleted the items in my basket &amp; will have to go to Tesco tomorrow instead. Its always been fine before &amp; this has happened the last couple of orders Ive tried as well .. :(",Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Poor
508132,"@236664 I ordered something three different items at three different times and they said “tried to deliver, business was closed....” Ummmm, no asshat ~ that “business” is a hotel!",Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Poor
413015,Gibts da ne Vorlage ? Ich kann nicht schlafen xd nur wenn man das mit 3-4 Produkten macht wird das ganz schön teuer,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Good,Good
312965,No info since yesterday. Really 😒 https://t.co/D1u8Bfwxyj,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Good
179060,16th of September with Amazon. Received the code Monday. Input it to PSN last night. Was told it redeemed. Are the codes broken?,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Poor,Good
511712,i cancelled an order over 10 days ago but still havent got a refund. How long does it take?,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Poor,Poor
428992,@115851 @115850 making fool how long you will loot Indian customer???,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Poor,Good
1973387,Request you to kindly deliver my product between 2 - 5 pm order # 408-3487683-8821161. It’s request else I’ll hv 2 cancel,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Poor,Poor
2483964,"Bought Motog5s Plus and got ""Up to 120 GB additional data from Idea"" from Amazon. Tried Availing this offer but got ""Invalid Invoice, details not found "" error. Today is Last day to avail. Pls. help @115850 @idea_cares https://t.co/wEDZeV8Bqa",Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Good
292893,I hv submitted my prblm in ur email support team. They hv given reply to me and promised to me give cash back 15%. Ok so i m waiting.,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Good
686676,Que ponía que mi paquete llegaba antes de las 9 de la mañana y no ha llegado aún :(,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Poor
2857269,"Si se tiene que dirigir a alguna persona en especial, les pido POR FAVOR me digan con quién, para que el operador sepa.",Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Good,Poor
2671808,Thankyou amazon! I’m due the 6th of January so thought it’s best I get organised in case baby decides to make an early appearance 👶🏽❣️,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Good,Poor
204914,"Yes. Tracking stops yesterday, package due today. Guaranteed delivery date.",Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Poor
234564,"Yes, it arrived at two incorrect carrier facilities and it said the package may be here Friday. Afraid it’s going to get stuck at my dorm!",Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Good,Poor
1387352,I went to this link but I did not got contact number...I have query to ask...please give the customer care number,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Good,Good
710642,After confirm my oder the estimate date is 16th Oct which take more than 1week. If received b4 Friday that it really use ful.,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Good
581926,"Hi , It's me again! so regarding my shipment which was in the custom , today i checked with DHL and they said it's not shipped yet which is weird! and i went back to the tracking page and i found this ""Not yet shipped"" I meant what's happening here? Please advise?",Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Good
812366,Dann wende ich mich mal an den :3 vielen Dank,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Good,Good
64007,Thanks for your kind support. Item reached the destination,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Good,Good
1350017,"@115830 Hey, now me, my wife and my friend have all had the same thing done. We ordered, you took the money, then said the card was declined, we have to add more money to the card and then it works. Why are you authorising it and then not taking it??",Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Good
951966,"Really disappointed in @115821 ""prime"" shipping. It appears to mean ""maybe 2 days, maybe a week"" whatever the website said.",Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Poor
923917,J etais une bonne cliente j achetais tres regulierement mais la c est trop,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Poor,Good
1632475,Customer service was not sure that it would be and I'm responsible for follow up,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Poor,Poor
2385481,I'll try it out thanks,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Good,Poor
789697,Frgt abt email today is day4 where the hell is my stupid order oh god m tired n frustrated with you all @115821,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Poor,Poor
577774,why are you making false commitment again and again now you have given new time not date for delivering. you have not already fulfill your yesterday commitment how can i trust you ????????? i think am i not talking to brand like amazon . i have attached both the screenshot https://t.co/Xui3BOaDFB,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Poor,Good
1278084,"Livraison en point Relais. La seule solution proposé par votre support étant le remboursement, après autant d'attente. Impressionnant!!!",Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Poor,Good
2478819,Réalisé hier ds la foulée de notre échange 🤔,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Poor
1223169,Necesito Ayuda! Por bloqueo de cuenta!,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Good,Poor
322628,@115850 I am really disappointed with your services. i will not buy and will not recommend for my friends and family as i lost trust onyourService,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Poor,Poor
