tweet_id,analysis_text,historical_reply,human_intent,human_reply_quality,human_action,human_notes,intent,similarity_score,decision,reason,final_reply,evidence_reply,evidence_tweet_id
281979,Your product wich is in pic looks diffrent nd we receve is diffrent and also a color we cannt cancle this bcz i m live in dakor gujarat,@183175 Apologies for the inconvenience. Request you to get in touch with our support team here : https://t.co/TdDksLo6Mf.^SK,product_issue,Acceptable,ESCALATE,Product received differs from pictured product,product_issue,0.2391,ESCALATE,Historical similarity is below safety threshold; Intent mismatch with historical example; Retrieved historical reply is incomplete or unsafe,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"I'm sorry you didn't receive your package, Angel. Will you please let us know who the shipper is? This information can be found here:",2978217
671655,I don't have an Amazon account with that email address. But it is an address with 2 step verification that has not been hacked. Why would someone be able to set up an Amazon account with an email account that has not been verified thru Amazon? Sounds like Amazon security prob.,"@280258 Hey, you can set up an Amazon account using any email address that's not already associated with Amazon account. ^RS",account_login,Good,AUTO_HANDLE,Customer asks about creating an Amazon account with an unverified email address.,account_login,0.2762,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold; Retrieved historical reply is incomplete or unsafe,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"Just as an example, you can check here: by clicking ""More purchase options"" then... (1/2)",1323337
40422,But please arrange return pick up from your hand,"@120261 Please don't worry, our team will get in touch with you with a best possible resolution. ^SU",return,Acceptable,ESCALATE,Customer requests return pickup; support needs to arrange it.,return,0.5378,ESCALATE,Historical similarity is below safety threshold; Intent mismatch with historical example,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Kindly revert to our email correspondence with further query on this and we'll be happy to take it over from there.,19117
1665280,"C'est inexcusable, je dois faire un transfert de données le 7 de l'ancienne console à celle-ci, et je dois revendre l'autre le même jour","@507413 Nous n'avons pas accès à votre compte, vous pouvez contacter notre SAV pour qu'ils vous aident via https://t.co/hgIrz98cdI",customer_service,Acceptable,ESCALATE,Customer needs support for a time-sensitive console data-transfer issue.,other,0.4444,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,L'avez-vous signalé à notre SAV afin qu'il prenne les mesures nécessaires?,2894579
946601,I am very disappointing with the service of seller support my cases is not resolved its takes 3 months. Plz help,"@344469 Kindly share your details here: https://t.co/beaaDm0muc, and we'll reach out to you soon. (2/2) ^MD",customer_service,Acceptable,ESCALATE,Seller support case has remained unresolved for three months.,customer_service,0.2373,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold; Intent mismatch with historical example; Retrieved historical reply is incomplete or unsafe,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,I'm sorry to know this. Please contact our support team via chat here:,197733
73532,No i ordered one item and it says it has been delivered. Part of the item is missing. This was a gift for someone tomorrow so I needed to receive it by today,"@132441 Thanks for the additional information! We'd like to take a look into this with you! When you get a moment, please contact us via chat or phone: https://t.co/JzP7hlA23B ^SW",delivery,Acceptable,ESCALATE,Order is marked delivered but part of the item is missing.,product_issue,0.2375,ESCALATE,Historical similarity is below safety threshold; Intent mismatch with historical example,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Thanks for the update! We'd like to look into this with you in real time. Please reach out to us via phone or chat here,2744203
318264,It seems to be cooperating now. Its preference for Lloyd was just a little amusing.,@191939 Delighted it is working now.^CD,product_issue,Good,AUTO_HANDLE,Customer indicates the issue is now working normally.,other,0.2656,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Is there any error message too or just not loading? I have been checking and no issue is showing on our side.,2142200
472347,"I normally buy a few bits on a Friday but its now saying delivery for Monday, so deleted the items in my basket &amp; will have to go to Tesco tomorrow instead. Its always been fine before &amp; this has happened the last couple of orders Ive tried as well .. :(","@227489 This is not the experience we want you to have. Thank you for your feedback, it helps us improve. ^BD",delivery,Acceptable,AUTO_HANDLE,Customer reports unexpected delivery-date changes.,delivery,0.2244,ESCALATE,Historical similarity is below safety threshold; Intent mismatch with historical example; Retrieved historical reply is incomplete or unsafe,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,I'd like to have this investigated by a logistics specialist! Pls give our team details here:,1362458
508132,"@236664 I ordered something three different items at three different times and they said “tried to deliver, business was closed....” Ummmm, no asshat ~ that “business” is a hotel!","@249440 I'm sorry to hear about the delivery trouble. If you are currently waiting on an order, we'd like to help! Have you received an updated delivery date for the orders? ^MB",delivery,Acceptable,ESCALATE,Customer reports failed delivery attempts to a hotel,order,0.2331,ESCALATE,Historical similarity is below safety threshold; Intent mismatch with historical example,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Thanks for the additional information! Are you having this issue with one specific carrier or with multiple carriers?,91525
413015,Gibts da ne Vorlage ? Ich kann nicht schlafen xd nur wenn man das mit 3-4 Produkten macht wird das ganz schön teuer,"@213578 Schau mal hier: https://t.co/7M84KcSxSt Diese Seite ist beim Produkt unter ""Hier klicken, um mehr über den AWS IoT-Button zu erfahren."" verlinkt. Als Bier-Alternative hätten wir noch das hier: https://t.co/CTqAEjLZej Du hast die Qual der Wahl 🍺🙂 ^DS",product_issue,Good,AUTO_HANDLE,Customer asks for a product template/reference and receives a relevant resource.,other,0.4507,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Schau mal hier: wird es ausführlich erklärt.,929585
